[317/720] qaoa_14_fake_sherbrooke seed=17 n*=12950  (1.1s, ~3 min left)
[318/720] qaoa_14_fake_sherbrooke seed=18 n*=13250  (1.2s, ~3 min left)
[319/720] qaoa_14_fake_sherbrooke seed=19 n*=14250  (1.1s, ~3 min left)
[320/720] qaoa_14_fake_sherbrooke seed=20 n*=13100  (1.1s, ~3 min left)
[321/720] qft_6_fake_fez seed=1 n*=1050  (0.6s, ~3 min left)
[322/720] qft_6_fake_fez seed=2 n*=850  (0.6s, ~3 min left)
[323/720] qft_6_fake_fez seed=3 n*=1000  (0.6s, ~3 min left)
[324/720] qft_6_fake_fez seed=4 n*=700  (0.6s, ~3 min left)
[325/720] qft_6_fake_fez seed=5 n*=1100  (0.6s, ~3 min left)
[326/720] qft_6_fake_fez seed=6 n*=950  (0.6s, ~3 min left)
[327/720] qft_6_fake_fez seed=7 n*=900  (0.6s, ~3 min left)
[328/720] qft_6_fake_fez seed=8 n*=900  (0.6s, ~3 min left)
[329/720] qft_6_fake_fez seed=9 n*=1000  (0.6s, ~3 min left)
[330/720] qft_6_fake_fez seed=10 n*=900  (0.6s, ~3 min left)
[331/720] qft_6_fake_fez seed=11 n*=700  (0.7s, ~3 min left)
