algorithm,size,backend,oracle_shots,epsilon,batch
random,12,fake_sherbrooke,15250,0.1,50
random,12,fake_torino,15300,0.1,50
random,13,aer_simulator,12750,0.1,50
random,13,fake_fez,17000,0.1,50
random,13,fake_kyiv,17250,0.1,50
random,13,fake_marrakesh,16900,0.1,50
random,13,fake_sherbrooke,17200,0.1,50
random,13,fake_torino,17150,0.1,50
random,14,aer_simulator,10900,0.1,50
random,14,fake_kyiv,17750,0.1,50
random,14,fake_marrakesh,17650,0.1,50
random,14,fake_sherbrooke,17700,0.1,50
random,14,fake_torino,17750,0.1,50
random,15,aer_simulator,16900,0.1,50
random,15,fake_fez,17900,0.1,50
random,15,fake_kyiv,17900,0.1,50
random,15,fake_marrakesh,17850,0.1,50
random,15,fake_sherbrooke,17900,0.1,50
random,15,fake_torino,17900,0.1,50
realamprandom,4,aer_simulator,100,0.1,50
realamprandom,4,fake_fez,150,0.1,50
realamprandom,4,fake_kyiv,200,0.1,50
realamprandom,4,fake_marrakesh,100,0.1,50
realamprandom,4,fake_sherbrooke,100,0.1,50
realamprandom,4,fake_torino,150,0.1,50
realamprandom,5,aer_simulator,350,0.1,50
realamprandom,5,fake_fez,350,0.1,50
realamprandom,5,fake_kyiv,450,0.1,50
realamprandom,5,fake_marrakesh,500,0.1,50
realamprandom,5,fake_sherbrooke,450,0.1,50
realamprandom,5,fake_torino,500,0.1,50
realamprandom,6,aer_simulator,600,0.1,50
realamprandom,6,fake_fez,1000,0.1,50
realamprandom,6,fake_kyiv,1000,0.1,50
realamprandom,6,fake_marrakesh,950,0.1,50
realamprandom,6,fake_sherbrooke,850,0.1,50
realamprandom,6,fake_torino,1200,0.1,50
realamprandom,7,aer_simulator,1100,0.1,50
realamprandom,7,fake_fez,1350,0.1,50
realamprandom,7,fake_kyiv,1750,0.1,50
realamprandom,7,fake_marrakesh,1350,0.1,50
realamprandom,7,fake_sherbrooke,1700,0.1,50
realamprandom,7,fake_torino,1550,0.1,50
realamprandom,8,aer_simulator,1800,0.1,50
realamprandom,8,fake_fez,2450,0.1,50
realamprandom,8,fake_kyiv,3100,0.1,50
realamprandom,8,fake_marrakesh,2950,0.1,50
realamprandom,8,fake_sherbrooke,3350,0.1,50
realamprandom,8,fake_torino,3100,0.1,50
realamprandom,9,aer_simulator,3000,0.1,50
realamprandom,9,fake_fez,5350,0.1,50
realamprandom,9,fake_kyiv,5550,0.1,50
realamprandom,9,fake_marrakesh,4900,0.1,50
realamprandom,9,fake_sherbrooke,6200,0.1,50
realamprandom,9,fake_torino,5450,0.1,50
realamprandom,10,aer_simulator,4950,0.1,50
realamprandom,10,fake_fez,8850,0.1,50
realamprandom,10,fake_kyiv,9000,0.1,50
realamprandom,10,fake_marrakesh,8200,0.1,50
realamprandom,10,fake_sherbrooke,9150,0.1,50
realamprandom,10,fake_torino,8800,0.1,50
realamprandom,11,aer_simulator,4950,0.1,50
realamprandom,11,fake_fez,11550,0.1,50
realamprandom,11,fake_kyiv,12550,0.1,50
realamprandom,11,fake_marrakesh,11500,0.1,50
realamprandom,11,fake_sherbrooke,11950,0.1,50
realamprandom,11,fake_torino,12200,0.1,50
realamprandom,12,aer_simulator,9400,0.1,50
realamprandom,12,fake_fez,14650,0.1,50
realamprandom,12,fake_kyiv,15350,0.1,50
realamprandom,12,fake_marrakesh,14200,0.1,50
realamprandom,12,fake_sherbrooke,15250,0.1,50
